NamaPembeli,Kelamin,Menikah,Tanggungan,Pendidikan,Pekerjaan,PendapatanUtama,PemasukanTambahan,JenisProperti,NUP,BookingFee,BiayaRumahTanah,UangMuka,PeriodeCicilan,RiwayatPinjaman,PersetujuanPembelian
Pembeli 027,L,Ya,2,SMA,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,130000000,"Rp23.000.000,00",18,2+,tidak
Pembeli 028,L,Ya,2,SMA,POLRI-TNI,5jt s.d. <10jt,< 1jt,Rumah,Tidak,Ya,241000000,"Rp59.000.000,00",18,1,tidak
Pembeli 029,L,Tidak,0,SMA,PNS,5jt s.d. <10jt,< 1jt,Rumah,Ya,Ya,188000000,"Rp61.000.000,00",18,1,ya
Pembeli 030,P,Tidak,0,SMA,Wiraswasta,> 30jt,1jt s.d. <5jt,Tanah,Ya,Ya,110000000,"Rp23.000.000,00",18,0,ya
Pembeli 031,L,Ya,2,Sarjana,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Tidak,Ya,208000000,"Rp97.000.000,00",18,0,ya
Pembeli 032,L,Tidak,0,SD,Buruh Lepas,< 1jt,0,Rumah,Tidak,Ya,203000000,"Rp80.000.000,00",18,2+,tidak
Pembeli 033,L,Tidak,0,SMP,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,149000000,"Rp13.000.000,00",18,2+,tidak
Pembeli 034,L,Ya,3,SMA,Wiraswasta,20jt s.d. <30jt,1jt s.d. <5jt,Tanah,Ya,Ya,125000000,"Rp24.000.000,00",18,2,ya
Pembeli 035,L,Tidak,0,Sarjana,Wiraswasta,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Ya,Ya,115000000,"Rp10.000.000,00",18,1,ya
Pembeli 036,L,Ya,2,SMA,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Rumah,Tidak,Ya,212000000,"Rp53.000.000,00",18,2,tidak
Pembeli 037,L,Ya,2,SMA,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Tidak,Ya,221000000,"Rp93.000.000,00",18,2+,tidak
Pembeli 038,P,Ya,3,SMP,Wiraswasta,> 30jt,1jt s.d. <5jt,Tanah,Ya,Ya,127000000,"Rp21.000.000,00",18,2,ya
Pembeli 039,L,Tidak,0,PascaSarjana,PNS,5jt s.d. <10jt,< 1jt,Rumah,Tidak,Ya,249000000,"Rp62.000.000,00",18,0,ya
Pembeli 040,L,Tidak,0,Sarjana,POLRI-TNI,5jt s.d. <10jt,< 1jt,Tanah,Ya,Ya,138000000,"Rp12.000.000,00",18,2,tidak
Pembeli 041,L,Tidak,0,SMP,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Tidak,Ya,222000000,"Rp78.000.000,00",18,2,ya
Pembeli 042,L,Tidak,0,Sarjana,POLRI-TNI,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Ya,Ya,193000000,"Rp71.000.000,00",18,2,ya
Pembeli 043,L,Ya,2,Sarjana,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Tidak,Ya,211000000,"Rp99.000.000,00",18,2,tidak
Pembeli 044,L,Ya,3+,PascaSarjana,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,111000000,"Rp44.000.000,00",18,0,tidak
Pembeli 045,L,Ya,3,SMA,PNS,1jt s.d. <5jt,5jt s.d. <10jt,Rumah,Ya,Ya,249000000,"Rp61.000.000,00",18,1,ya
Pembeli 046,P,Tidak,0,Sarjana,Wiraswasta,20jt s.d. <30jt,1jt s.d. <5jt,Rumah,Tidak,Ya,183000000,"Rp95.000.000,00",18,2,ya
Pembeli 047,L,Ya,3,SMA,POLRI-TNI,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Ya,Ya,247000000,"Rp61.000.000,00",18,0,ya
Pembeli 048,L,Ya,2,SMA,POLRI-TNI,1jt s.d. <5jt,< 1jt,Rumah,Tidak,Ya,180000000,"Rp81.000.000,00",18,2,tidak
Pembeli 049,P,Ya,2,Sarjana,Wiraswasta,> 30jt,1jt s.d. <5jt,Rumah,Ya,Ya,232000000,"Rp81.000.000,00",18,1,ya
Pembeli 050,P,Tidak,0,PascaSarjana,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,100000000,"Rp11.000.000,00",18,2,tidak
Pembeli 051,P,Ya,2,SD,PNS,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Tidak,Ya,124000000,"Rp11.000.000,00",18,0,ya
Pembeli 052,P,Tidak,0,Sarjana,Wiraswasta,20jt s.d. <30jt,10jt s.d. <20jt,Tanah,Ya,Ya,113000000,"Rp18.000.000,00",18,1,ya
Pembeli 053,P,Tidak,0,PascaSarjana,POLRI-TNI,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Tidak,Ya,114000000,"Rp43.000.000,00",18,2+,ya
Pembeli 054,L,Ya,2,PascaSarjana,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Rumah,Ya,Ya,207000000,"Rp59.000.000,00",18,1,ya
Pembeli 055,P,Ya,3,SMA,Buruh Lepas,< 1jt,0,Rumah,Ya,Ya,180000000,"Rp75.000.000,00",18,2+,tidak
Pembeli 056,L,Ya,2,SMA,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,138000000,"Rp47.000.000,00",18,2+,tidak
Pembeli 057,L,Ya,3,PascaSarjana,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Tidak,Ya,115000000,"Rp47.000.000,00",18,2+,tidak
Pembeli 058,L,Ya,2,PascaSarjana,POLRI-TNI,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Ya,Ya,105000000,"Rp25.000.000,00",18,1,ya
Pembeli 059,L,Ya,3+,PascaSarjana,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Rumah,Ya,Ya,198000000,"Rp92.000.000,00",18,1,ya
Pembeli 060,L,Ya,1,Sarjana,Buruh Lepas,< 1jt,0,Rumah,Ya,Ya,189000000,"Rp57.000.000,00",18,0,tidak
Pembeli 061,L,Ya,1,SMP,Wiraswasta,20jt s.d. <30jt,1jt s.d. <5jt,Rumah,Tidak,Ya,201000000,"Rp84.000.000,00",18,2,ya
Pembeli 062,L,Ya,2,SMP,Wiraswasta,10jt s.d. <20jt,1jt s.d. <5jt,Rumah,Tidak,Ya,221000000,"Rp75.000.000,00",18,2,tidak
Pembeli 063,L,Ya,1,SMA,PNS,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Tidak,Ya,147000000,"Rp42.000.000,00",12,1,ya
Pembeli 064,L,Ya,3+,PascaSarjana,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Tanah,Ya,Ya,118000000,"Rp26.000.000,00",18,2+,ya
Pembeli 065,P,Tidak,0,PascaSarjana,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,106000000,"Rp43.000.000,00",18,2,tidak
Pembeli 066,L,Ya,2,SMP,Wiraswasta,> 30jt,5jt s.d. <10jt,Tanah,Ya,Ya,110000000,"Rp11.000.000,00",18,0,ya
Pembeli 067,L,Tidak,0,Sarjana,PNS,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Tidak,Ya,184000000,"Rp58.000.000,00",12,0,ya
Pembeli 068,L,Ya,1,SMA,PNS,10jt s.d. <20jt,5jt s.d. <10jt,Rumah,Tidak,Ya,204000000,"Rp55.000.000,00",18,2,ya
Pembeli 069,L,Ya,2,SD,POLRI-TNI,5jt s.d. <10jt,< 1jt,Rumah,Tidak,Ya,186000000,"Rp70.000.000,00",24,2,ya
Pembeli 070,P,Tidak,0,SD,Wiraswasta,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Tidak,Ya,146000000,"Rp50.000.000,00",18,1,ya
Pembeli 071,L,Ya,3,PascaSarjana,Wiraswasta,20jt s.d. <30jt,5jt s.d. <10jt,Rumah,Tidak,Ya,235000000,"Rp72.000.000,00",18,0,ya
Pembeli 072,L,Ya,3+,Sarjana,POLRI-TNI,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Ya,Ya,124000000,"Rp45.000.000,00",18,2,ya
Pembeli 073,L,Tidak,0,SD,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,107000000,"Rp50.000.000,00",18,1,ya
Pembeli 074,L,Ya,3+,SMP,PNS,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Tidak,Ya,136000000,"Rp32.000.000,00",12,2,tidak
Pembeli 075,L,Ya,3,PascaSarjana,PNS,5jt s.d. <10jt,< 1jt,Tanah,Tidak,Ya,104000000,"Rp47.000.000,00",18,2+,tidak
Pembeli 076,L,Tidak,0,Sarjana,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Ya,Ya,186000000,"Rp70.000.000,00",24,0,ya
Pembeli 077,L,Tidak,0,SMA,PNS,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Tidak,Ya,234000000,"Rp83.000.000,00",18,0,ya
Pembeli 078,L,Ya,1,SMA,Wiraswasta,10jt s.d. <20jt,1jt s.d. <5jt,Rumah,Ya,Ya,188000000,"Rp93.000.000,00",18,2,ya
Pembeli 079,L,Ya,3,SMP,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,130000000,"Rp33.000.000,00",18,1,tidak
Pembeli 080,L,Ya,1,SD,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,127000000,"Rp23.000.000,00",18,2,tidak
Pembeli 081,P,Tidak,0,SMP,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,128000000,"Rp12.000.000,00",18,0,tidak
Pembeli 082,L,Ya,2,Sarjana,PNS,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Ya,Ya,146000000,"Rp39.000.000,00",18,1,ya
Pembeli 083,P,Ya,3+,SMA,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Rumah,Tidak,Ya,192000000,"Rp75.000.000,00",18,2+,tidak
Pembeli 084,L,Ya,2,Sarjana,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,146000000,"Rp13.000.000,00",18,2+,tidak
Pembeli 085,L,Ya,2,SD,Buruh Lepas,< 1jt,0,Rumah,Tidak,Ya,209000000,"Rp67.000.000,00",12,2,tidak
Pembeli 086,L,Tidak,0,SMP,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,126000000,"Rp17.000.000,00",18,1,ya
Pembeli 087,L,Ya,3+,SD,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,117000000,"Rp19.000.000,00",18,2,tidak
Pembeli 088,L,Ya,2,SMA,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,127000000,"Rp40.000.000,00",18,2,tidak
Pembeli 089,L,Tidak,0,SD,PNS,10jt s.d. <20jt,< 1jt,Rumah,Ya,Ya,250000000,"Rp59.000.000,00",18,1,ya
Pembeli 090,L,Ya,1,Sarjana,PNS,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Ya,Ya,117000000,"Rp48.000.000,00",18,2+,tidak
Pembeli 091,L,Ya,3,SD,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,100000000,"Rp43.000.000,00",18,2,tidak
Pembeli 092,L,Ya,3+,SD,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,115000000,"Rp17.000.000,00",12,0,tidak
Pembeli 093,L,Ya,1,Sarjana,PNS,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Ya,Ya,187000000,"Rp70.000.000,00",18,2+,tidak
Pembeli 094,L,Tidak,0,SMA,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Tidak,Ya,110000000,"Rp36.000.000,00",18,0,ya
Pembeli 095,L,Tidak,0,SMA,POLRI-TNI,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Ya,Ya,129000000,"Rp14.000.000,00",12,2,ya
Pembeli 096,L,Tidak,0,PascaSarjana,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Rumah,Tidak,Ya,181000000,"Rp76.000.000,00",18,2+,tidak
Pembeli 097,P,Ya,3,SMP,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Ya,Ya,127000000,"Rp17.000.000,00",18,0,ya
Pembeli 098,L,Ya,3,SMA,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,106000000,"Rp14.000.000,00",24,1,ya
Pembeli 099,L,Ya,2,SMP,Wiraswasta,> 30jt,1jt s.d. <5jt,Tanah,Tidak,Ya,142000000,"Rp10.000.000,00",12,0,ya
Pembeli 100,L,Ya,1,SMA,POLRI-TNI,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Ya,Ya,149000000,"Rp10.000.000,00",18,2+,tidak
Pembeli 101,L,Ya,1,PascaSarjana,POLRI-TNI,10jt s.d. <20jt,5jt s.d. <10jt,Rumah,Tidak,Ya,247000000,"Rp84.000.000,00",12,0,ya
Pembeli 102,L,Tidak,0,SMA,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,104000000,"Rp37.000.000,00",18,0,ya
Pembeli 103,L,Ya,2,SMP,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Tidak,Ya,199000000,"Rp86.000.000,00",18,2,ya
Pembeli 104,L,Ya,0,PascaSarjana,POLRI-TNI,10jt s.d. <20jt,< 1jt,Tanah,Ya,Ya,103000000,"Rp37.000.000,00",18,2,ya
Pembeli 105,L,tidak,0,Sarjana,POLRI-TNI,5jt s.d. <10jt,5jt s.d. <10jt,Rumah,Ya,Ya,249000000,"Rp63.000.000,00",18,0,ha
Pembeli 106,L,Ya,1,SD,Buruh Lepas,< 1jt,0,Rumah,Ya,Ya,248000000,"Rp58.000.000,00",18,2,tidak
Pembeli 107,L,Ya,2,PascaSarjana,PNS,1jt s.d. <5jt,< 1jt,Rumah,Tidak,Ya,218000000,"Rp69.000.000,00",18,2,tidak
Pembeli 108,L,Tidak,0,SMP,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,147000000,"Rp49.000.000,00",18,0,tidak
Pembeli 109,L,Ya,2,Sarjana,Buruh Lepas,< 1jt,0,Rumah,Ya,Ya,231000000,"Rp66.000.000,00",18,0,tidak
Pembeli 110,L,Ya,3+,SMP,Wiraswasta,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Tidak,Ya,141000000,"Rp42.000.000,00",24,2+,ya
Pembeli 111,L,Tidak,0,Sarjana,PNS,5jt s.d. <10jt,< 1jt,Rumah,Ya,Ya,189000000,"Rp64.000.000,00",18,1,ya
Pembeli 112,P,Ya,0,Sarjana,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,132000000,"Rp16.000.000,00",18,1,tidak
Pembeli 113,L,Ya,0,SMP,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,139000000,"Rp26.000.000,00",12,2,tidak
Pembeli 114,P,Tidak,1,PascaSarjana,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Tanah,Tidak,Ya,135000000,"Rp43.000.000,00",18,2,ya
Pembeli 115,L,Tidak,0,SMA,POLRI-TNI,1jt s.d. <5jt,< 1jt,Tanah,Tidak,Ya,142000000,"Rp35.000.000,00",18,2+,tidak
Pembeli 116,L,Ya,1,SD,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,133000000,"Rp11.000.000,00",12,1,tidak
Pembeli 117,P,Ya,0,SD,Wiraswasta,> 30jt,1jt s.d. <5jt,Tanah,Ya,Ya,135000000,"Rp43.000.000,00",18,1,ya
Pembeli 118,L,Ya,1,SMA,POLRI-TNI,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Ya,Ya,217000000,"Rp51.000.000,00",18,1,tidak
Pembeli 119,L,Ya,0,SMP,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,147000000,"Rp44.000.000,00",18,0,ya
Pembeli 120,P,Tidak,0,SMA,Wiraswasta,10jt s.d. <20jt,10jt s.d. <20jt,Rumah,Ya,Ya,229000000,"Rp85.000.000,00",18,2+,tidak
Pembeli 121,L,Ya,,PascaSarjana,POLRI-TNI,10jt s.d. <20jt,< 1jt,Tanah,Tidak,Ya,122000000,"Rp14.000.000,00",18,1,ya
Pembeli 122,P,Tidak,0,PascaSarjana,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,103000000,"Rp17.000.000,00",18,2+,tidak
Pembeli 123,P,Tidak,0,SD,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Tanah,Ya,Ya,128000000,"Rp11.000.000,00",18,1,ya
Pembeli 124,L,Ya,2,PascaSarjana,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,112000000,"Rp49.000.000,00",18,2+,tidak
Pembeli 125,L,Ya,0,SMA,PNS,5jt s.d. <10jt,< 1jt,Tanah,Ya,Ya,130000000,"Rp19.000.000,00",18,2,ya
Pembeli 126,P,Tidak,0,PascaSarjana,Wiraswasta,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Tidak,Ya,149000000,"Rp44.000.000,00",18,2+,ya
Pembeli 127,,Ya,3+,PascaSarjana,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Tanah,Tidak,Ya,132000000,"Rp46.000.000,00",18,0,tidak
Pembeli 128,L,Tidak,0,SMA,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Ya,Ya,148000000,"Rp23.000.000,00",18,2,ya
Pembeli 129,L,Ya,1,SD,POLRI-TNI,5jt s.d. <10jt,< 1jt,Rumah,Tidak,Ya,215000000,"Rp94.000.000,00",12,0,ya
Pembeli 130,L,Ya,0,Sarjana,POLRI-TNI,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Tidak,Ya,146000000,"Rp41.000.000,00",18,2,ya
Pembeli 131,L,Tidak,0,SMP,PNS,10jt s.d. <20jt,< 1jt,Rumah,Ya,Ya,217000000,"Rp64.000.000,00",24,1,ya
Pembeli 132,L,Tidak,0,Sarjana,PNS,10jt s.d. <20jt,5jt s.d. <10jt,Rumah,Tidak,Ya,244000000,"Rp91.000.000,00",18,2,ya
Pembeli 133,L,Tidak,0,PascaSarjana,POLRI-TNI,10jt s.d. <20jt,< 1jt,Tanah,Tidak,Ya,133000000,"Rp45.000.000,00",18,2,ya
Pembeli 134,L,Ya,0,PascaSarjana,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Tidak,Ya,145000000,"Rp46.000.000,00",12,2+,ya
Pembeli 135,L,Tidak,0,Sarjana,Wiraswasta,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Tidak,Ya,149000000,"Rp42.000.000,00",18,2,ya
Pembeli 136,L,Ya,3+,SMP,Buruh Lepas,< 1jt,0,Tanah,Ya,Ya,104000000,"Rp14.000.000,00",18,1,tidak
Pembeli 137,P,Ya,0,Sarjana,POLRI-TNI,1jt s.d. <5jt,< 1jt,Tanah,Ya,Ya,109000000,"Rp46.000.000,00",18,1,ya
Pembeli 138,L,Ya,2,PascaSarjana,Wiraswasta,20jt s.d. <30jt,10jt s.d. <20jt,Rumah,Ya,Ya,229000000,"Rp74.000.000,00",18,0,ya
Pembeli 139,L,Tidak,0,SD,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Tanah,Tidak,Ya,126000000,"Rp47.000.000,00",18,0,tidak
Pembeli 140,L,Ya,2,Sarjana,POLRI-TNI,10jt s.d. <20jt,< 1jt,Tanah,Tidak,Ya,122000000,"Rp13.000.000,00",18,1,ya
Pembeli 141,L,Ya,2,PascaSarjana,Wiraswasta,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Ya,Ya,119000000,"Rp48.000.000,00",18,0,ya
Pembeli 142,L,Tidak,0,SD,Buruh Lepas,< 1jt,0,Rumah,Ya,Ya,250000000,"Rp80.000.000,00",18,2+,tidak
Pembeli 143,L,Tidak,0,SMA,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Tidak,Ya,102000000,"Rp12.000.000,00",12,2+,ya
Pembeli 144,L,Ya,0,SMP,PNS,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Tidak,Ya,141000000,"Rp10.000.000,00",18,0,ya
Pembeli 145,L,Ya,2,Sarjana,PNS,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Tidak,Ya,204000000,"Rp80.000.000,00",12,1,tidak
Pembeli 146,P,Ya,0,Sarjana,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Tanah,Tidak,Ya,128000000,"Rp35.000.000,00",18,2+,ya
Pembeli 147,P,Ya,2,SMP,POLRI-TNI,1jt s.d. <5jt,< 1jt,Rumah,Tidak,Ya,184000000,"Rp97.000.000,00",18,2,ya
Pembeli 148,L,Ya,1,SD,Pegawai Swasta,1jt s.d. <5jt,< 1jt,Rumah,Ya,Ya,234000000,"Rp56.000.000,00",18,1,tidak
Pembeli 149,P,Tidak,0,Sarjana,PNS,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Tidak,Ya,133000000,"Rp46.000.000,00",18,0,ya
Pembeli 150,L,Ya,0,SMA,Buruh Lepas,< 1jt,0,Tanah,Tidak,Ya,127000000,"Rp17.000.000,00",18,2,tidak
Pembeli 151,L,Tidak,0,SMP,Wiraswasta,> 30jt,10jt s.d. <20jt,Tanah,Ya,Ya,105000000,"Rp38.000.000,00",18,0,ya
Pembeli 152,L,Ya,0,SMP,Wiraswasta,20jt s.d. <30jt,10jt s.d. <20jt,Tanah,Ya,Ya,106000000,"Rp50.000.000,00",18,1,ya
Pembeli 153,L,Tidak,0,SMP,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Rumah,Ya,Ya,222000000,"Rp55.000.000,00",18,2+,ya
Pembeli 154,L,Ya,2,SMP,POLRI-TNI,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,100000000,"Rp44.000.000,00",18,0,ya
Pembeli 155,L,Tidak,0,PascaSarjana,Wiraswasta,> 30jt,5jt s.d. <10jt,Rumah,Tidak,Ya,205000000,"Rp91.000.000,00",18,1,ya
Pembeli 156,L,Ya,3+,PascaSarjana,POLRI-TNI,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Ya,Ya,106000000,"Rp15.000.000,00",12,2,ya
Pembeli 157,L,Ya,1,SMA,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Ya,Ya,142000000,"Rp12.000.000,00",18,0,ya
Pembeli 158,L,Ya,1,SMA,Pegawai Swasta,5jt s.d. <10jt,< 1jt,Rumah,Tidak,Ya,184000000,"Rp96.000.000,00",18,2,ya
Pembeli 159,L,Tidak,0,Sarjana,PNS,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Tidak,Ya,124000000,"Rp37.000.000,00",18,2,tidak
Pembeli 160,L,Ya,0,PascaSarjana,POLRI-TNI,10jt s.d. <20jt,< 1jt,Tanah,Ya,Ya,128000000,"Rp28.000.000,00",18,2+,ya
