"Nama Pembeli,Kelamin,Menikah,Tanggungan,Pendidikan (int),Pendidikan,Pekerjaan (int),Pekerjaan,PU (int),Pendapatan Utama,PT (int),Pemasukan Tambahan,Jenis Properti,NUP (int),NUP,BF (int),Booking Fee,Biaya Rumah/Tanah,Uang Muka,Periode Cicilan,Riwayat Pinjaman,Persetujuan Pembelian"
"Pembeli 014,L,Tidak,0,1,SD,4,Pegawai Swasta,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,118000000,21000000,18,2+,ya"
"Pembeli 015,L,Ya,1,5,PascaSarjana,4,Pegawai Swasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,241000000,88000000,12,2,ya"
"Pembeli 016,L,Tidak,0,3,SMA,4,Pegawai Swasta,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Rumah,1,Ya,1,Ya,237000000,68000000,18,2+,tidak"
"Pembeli 017,L,Tidak,0,1,SD,1,Wiraswasta,3,5jt s.d. <10jt,3,5jt s.d. <10jt,Rumah,0,Tidak,1,Ya,242000000,81000000,12,2+,ya"
"Pembeli 018,P,Tidak,0,4,Sarjana,5,Buruh Lepas,1,< 1jt,0,0,Rumah,1,Ya,1,Ya,220000000,61000000,18,2+,tidak"
"Pembeli 019,L,Ya,2,5,PascaSarjana,2,PNS,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,149000000,42000000,18,2,ya"
"Pembeli 020,L,Ya,1,4,Sarjana,1,Wiraswasta,5,20jt s.d. <30jt,3,5jt s.d. <10jt,Rumah,0,Tidak,1,Ya,227000000,72000000,18,2,ya"
"Pembeli 021,L,Ya,1,4,Sarjana,1,Wiraswasta,6,> 30jt,2,1jt s.d. <5jt,Rumah,1,Ya,1,Ya,194000000,94000000,18,2+,ya"
"Pembeli 022,L,Ya,3,4,Sarjana,2,PNS,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Rumah,1,Ya,1,Ya,237000000,84000000,18,0,tidak"
"Pembeli 023,L,Ya,3,5,PascaSarjana,1,Wiraswasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,110000000,26000000,18,1,ya"
"Pembeli 024,P,Ya,3,5,PascaSarjana,1,Wiraswasta,5,20jt s.d. <30jt,4,10jt s.d. <20jt,Tanah,1,Ya,1,Ya,143000000,37000000,18,2,ya"
"Pembeli 025,L,Ya,3,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,122000000,20000000,18,1,tidak"
"Pembeli 026,L,Ya,1,3,SMA,3,POLRI-TNI,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,105000000,29000000,18,0,ya"
"Pembeli 027,L,Ya,2,3,SMA,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,130000000,23000000,18,2+,tidak"
"Pembeli 028,L,Ya,2,3,SMA,3,POLRI-TNI,3,5jt s.d. <10jt,1,< 1jt,Rumah,0,Tidak,1,Ya,241000000,59000000,18,1,tidak"
"Pembeli 029,L,Tidak,0,3,SMA,2,PNS,3,5jt s.d. <10jt,1,< 1jt,Rumah,1,Ya,1,Ya,188000000,61000000,18,1,ya"
"Pembeli 030,P,Tidak,0,3,SMA,1,Wiraswasta,6,> 30jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,110000000,23000000,18,0,ya"
"Pembeli 031,L,Ya,2,4,Sarjana,1,Wiraswasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,208000000,97000000,18,0,ya"
"Pembeli 032,L,Tidak,0,1,SD,5,Buruh Lepas,1,< 1jt,0,0,Rumah,0,Tidak,1,Ya,203000000,80000000,18,2+,tidak"
"Pembeli 033,L,Tidak,0,2,SMP,1,Wiraswasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,149000000,13000000,18,2+,tidak"
"Pembeli 034,L,Ya,3,3,SMA,1,Wiraswasta,5,20jt s.d. <30jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,125000000,24000000,18,2,ya"
"Pembeli 035,L,Tidak,0,4,Sarjana,1,Wiraswasta,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,115000000,10000000,18,1,ya"
"Pembeli 036,L,Ya,2,3,SMA,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,Rumah,0,Tidak,1,Ya,212000000,53000000,18,2,tidak"
"Pembeli 037,L,Ya,2,3,SMA,2,PNS,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,221000000,93000000,18,2+,tidak"
"Pembeli 038,P,Ya,3,2,SMP,1,Wiraswasta,6,> 30jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,127000000,21000000,18,2,ya"
"Pembeli 039,L,Tidak,0,5,PascaSarjana,2,PNS,3,5jt s.d. <10jt,1,< 1jt,Rumah,0,Tidak,1,Ya,249000000,62000000,18,0,ya"
"Pembeli 040,L,Tidak,0,4,Sarjana,3,POLRI-TNI,3,5jt s.d. <10jt,1,< 1jt,Tanah,1,Ya,1,Ya,138000000,12000000,18,2,tidak"
"Pembeli 041,L,Tidak,0,2,SMP,2,PNS,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,222000000,78000000,18,2,ya"
"Pembeli 042,L,Tidak,0,4,Sarjana,3,POLRI-TNI,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Rumah,1,Ya,1,Ya,193000000,71000000,18,2,ya"
"Pembeli 043,L,Ya,2,4,Sarjana,4,Pegawai Swasta,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,211000000,99000000,18,2,tidak"
"Pembeli 044,L,Ya,3+,5,PascaSarjana,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,111000000,44000000,18,0,tidak"
"Pembeli 045,L,Ya,3,3,SMA,2,PNS,2,1jt s.d. <5jt,3,5jt s.d. <10jt,Rumah,1,Ya,1,Ya,249000000,61000000,18,1,ya"
"Pembeli 046,P,Tidak,0,4,Sarjana,1,Wiraswasta,5,20jt s.d. <30jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,183000000,95000000,18,2,ya"
"Pembeli 047,L,Ya,3,3,SMA,3,POLRI-TNI,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Rumah,1,Ya,1,Ya,247000000,61000000,18,0,ya"
"Pembeli 048,L,Ya,2,3,SMA,3,POLRI-TNI,2,1jt s.d. <5jt,1,< 1jt,Rumah,0,Tidak,1,Ya,180000000,81000000,18,2,tidak"
"Pembeli 049,P,Ya,2,4,Sarjana,1,Wiraswasta,6,> 30jt,2,1jt s.d. <5jt,Rumah,1,Ya,1,Ya,232000000,81000000,18,1,ya"
"Pembeli 050,P,Tidak,0,5,PascaSarjana,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,100000000,11000000,18,2,tidak"
"Pembeli 051,P,Ya,2,1,SD,2,PNS,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,124000000,11000000,18,0,ya"
"Pembeli 052,P,Tidak,0,4,Sarjana,1,Wiraswasta,5,20jt s.d. <30jt,4,10jt s.d. <20jt,Tanah,1,Ya,1,Ya,113000000,18000000,18,1,ya"
"Pembeli 053,P,Tidak,0,5,PascaSarjana,3,POLRI-TNI,3,5jt s.d. <10jt,3,5jt s.d. <10jt,Tanah,0,Tidak,1,Ya,114000000,43000000,18,2+,ya"
"Pembeli 054,L,Ya,2,5,PascaSarjana,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,Rumah,1,Ya,1,Ya,207000000,59000000,18,1,ya"
"Pembeli 055,P,Ya,3,3,SMA,5,Buruh Lepas,1,< 1jt,0,0,Rumah,1,Ya,1,Ya,180000000,75000000,18,2+,tidak"
"Pembeli 056,L,Ya,2,3,SMA,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,138000000,47000000,18,2+,tidak"
"Pembeli 057,L,Ya,3,5,PascaSarjana,3,POLRI-TNI,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,115000000,47000000,18,2+,tidak"
"Pembeli 058,L,Ya,2,5,PascaSarjana,3,POLRI-TNI,2,1jt s.d. <5jt,3,5jt s.d. <10jt,Tanah,1,Ya,1,Ya,105000000,25000000,18,1,ya"
"Pembeli 059,L,Ya,3+,5,PascaSarjana,3,POLRI-TNI,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Rumah,1,Ya,1,Ya,198000000,92000000,18,1,ya"
"Pembeli 060,L,Ya,1,4,Sarjana,5,Buruh Lepas,1,< 1jt,0,0,Rumah,1,Ya,1,Ya,189000000,57000000,18,0,tidak"
"Pembeli 061,L,Ya,1,2,SMP,1,Wiraswasta,5,20jt s.d. <30jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,201000000,84000000,18,2,ya"
"Pembeli 062,L,Ya,2,2,SMP,1,Wiraswasta,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,221000000,75000000,18,2,tidak"
"Pembeli 063,L,Ya,1,3,SMA,2,PNS,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,147000000,42000000,12,1,ya"
"Pembeli 064,L,Ya,3+,5,PascaSarjana,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,Tanah,1,Ya,1,Ya,118000000,26000000,18,2+,ya"
"Pembeli 065,P,Tidak,0,5,PascaSarjana,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,106000000,43000000,18,2,tidak"
"Pembeli 066,L,Ya,2,2,SMP,1,Wiraswasta,6,> 30jt,3,5jt s.d. <10jt,Tanah,1,Ya,1,Ya,110000000,11000000,18,0,ya"
"Pembeli 067,L,Tidak,0,4,Sarjana,2,PNS,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,184000000,58000000,12,0,ya"
"Pembeli 068,L,Ya,1,3,SMA,2,PNS,4,10jt s.d. <20jt,3,5jt s.d. <10jt,Rumah,0,Tidak,1,Ya,204000000,55000000,18,2,ya"
"Pembeli 069,L,Ya,2,1,SD,3,POLRI-TNI,3,5jt s.d. <10jt,1,< 1jt,Rumah,0,Tidak,1,Ya,186000000,70000000,24,2,ya"
"Pembeli 070,P,Tidak,0,1,SD,1,Wiraswasta,4,10jt s.d. <20jt,3,5jt s.d. <10jt,Tanah,0,Tidak,1,Ya,146000000,50000000,18,1,ya"
"Pembeli 071,L,Ya,3,5,PascaSarjana,1,Wiraswasta,5,20jt s.d. <30jt,3,5jt s.d. <10jt,Rumah,0,Tidak,1,Ya,235000000,72000000,18,0,ya"
"Pembeli 072,L,Ya,3+,4,Sarjana,3,POLRI-TNI,2,1jt s.d. <5jt,3,5jt s.d. <10jt,Tanah,1,Ya,1,Ya,124000000,45000000,18,2,ya"
"Pembeli 073,L,Tidak,0,1,SD,4,Pegawai Swasta,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,107000000,50000000,18,1,ya"
"Pembeli 074,L,Ya,3+,2,SMP,2,PNS,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,136000000,32000000,12,2,tidak"
"Pembeli 075,L,Ya,3,5,PascaSarjana,2,PNS,3,5jt s.d. <10jt,1,< 1jt,Tanah,0,Tidak,1,Ya,104000000,47000000,18,2+,tidak"
"Pembeli 076,L,Tidak,0,4,Sarjana,4,Pegawai Swasta,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Rumah,1,Ya,1,Ya,186000000,70000000,24,0,ya"
"Pembeli 077,L,Tidak,0,3,SMA,2,PNS,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,234000000,83000000,18,0,ya"
"Pembeli 078,L,Ya,1,3,SMA,1,Wiraswasta,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Rumah,1,Ya,1,Ya,188000000,93000000,18,2,ya"
"Pembeli 079,L,Ya,3,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,130000000,33000000,18,1,tidak"
"Pembeli 080,L,Ya,1,1,SD,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,127000000,23000000,18,2,tidak"
"Pembeli 081,P,Tidak,0,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,128000000,12000000,18,0,tidak"
"Pembeli 082,L,Ya,2,4,Sarjana,2,PNS,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,146000000,39000000,18,1,ya"
"Pembeli 083,P,Ya,3+,3,SMA,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Rumah,0,Tidak,1,Ya,192000000,75000000,18,2+,tidak"
"Pembeli 084,L,Ya,2,4,Sarjana,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,146000000,13000000,18,2+,tidak"
"Pembeli 085,L,Ya,2,1,SD,5,Buruh Lepas,1,< 1jt,0,0,Rumah,0,Tidak,1,Ya,209000000,67000000,12,2,tidak"
"Pembeli 086,L,Tidak,0,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,126000000,17000000,18,1,ya"
"Pembeli 087,L,Ya,3+,1,SD,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,117000000,19000000,18,2,tidak"
"Pembeli 088,L,Ya,2,3,SMA,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,127000000,40000000,18,2,tidak"
"Pembeli 089,L,Tidak,0,1,SD,2,PNS,4,10jt s.d. <20jt,1,< 1jt,Rumah,1,Ya,1,Ya,250000000,59000000,18,1,ya"
"Pembeli 090,L,Ya,1,4,Sarjana,2,PNS,2,1jt s.d. <5jt,3,5jt s.d. <10jt,Tanah,1,Ya,1,Ya,117000000,48000000,18,2+,tidak"
"Pembeli 091,L,Ya,3,1,SD,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,100000000,43000000,18,2,tidak"
"Pembeli 092,L,Ya,3+,1,SD,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,115000000,17000000,12,0,tidak"
"Pembeli 093,L,Ya,1,4,Sarjana,2,PNS,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Rumah,1,Ya,1,Ya,187000000,70000000,18,2+,tidak"
"Pembeli 094,L,Tidak,0,3,SMA,3,POLRI-TNI,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,110000000,36000000,18,0,ya"
"Pembeli 095,L,Tidak,0,3,SMA,3,POLRI-TNI,2,1jt s.d. <5jt,3,5jt s.d. <10jt,Tanah,1,Ya,1,Ya,129000000,14000000,12,2,ya"
"Pembeli 096,L,Tidak,0,5,PascaSarjana,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Rumah,0,Tidak,1,Ya,181000000,76000000,18,2+,tidak"
"Pembeli 097,P,Ya,3,2,SMP,3,POLRI-TNI,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,127000000,17000000,18,0,ya"
"Pembeli 098,L,Ya,3,3,SMA,4,Pegawai Swasta,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,106000000,14000000,24,1,ya"
"Pembeli 099,L,Ya,2,2,SMP,1,Wiraswasta,6,> 30jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,142000000,10000000,12,0,ya"
"Pembeli 100,L,Ya,1,3,SMA,3,POLRI-TNI,2,1jt s.d. <5jt,3,5jt s.d. <10jt,Tanah,1,Ya,1,Ya,149000000,10000000,18,2+,tidak"
"Pembeli 101,L,Ya,1,5,PascaSarjana,3,POLRI-TNI,4,10jt s.d. <20jt,3,5jt s.d. <10jt,Rumah,0,Tidak,1,Ya,247000000,84000000,12,0,ya"
"Pembeli 102,L,Tidak,0,3,SMA,4,Pegawai Swasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,104000000,37000000,18,0,ya"
"Pembeli 103,L,Ya,2,2,SMP,1,Wiraswasta,3,5jt s.d. <10jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,199000000,86000000,18,2,ya"
"Pembeli 104,L,Ya,0,5,PascaSarjana,3,POLRI-TNI,4,10jt s.d. <20jt,1,< 1jt,Tanah,1,Ya,1,Ya,103000000,37000000,18,2,ya"
"Pembeli 105,L,tidak,0,4,Sarjana,3,POLRI-TNI,3,5jt s.d. <10jt,3,5jt s.d. <10jt,Rumah,1,Ya,1,Ya,249000000,63000000,18,0,ha"
"Pembeli 106,L,Ya,1,1,SD,5,Buruh Lepas,1,< 1jt,0,0,Rumah,1,Ya,1,Ya,248000000,58000000,18,2,tidak"
"Pembeli 107,L,Ya,2,5,PascaSarjana,2,PNS,2,1jt s.d. <5jt,1,< 1jt,Rumah,0,Tidak,1,Ya,218000000,69000000,18,2,tidak"
"Pembeli 108,L,Tidak,0,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,147000000,49000000,18,0,tidak"
"Pembeli 109,L,Ya,2,4,Sarjana,5,Buruh Lepas,1,< 1jt,0,0,Rumah,1,Ya,1,Ya,231000000,66000000,18,0,tidak"
"Pembeli 110,L,Ya,3+,2,SMP,1,Wiraswasta,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,141000000,42000000,24,2+,ya"
"Pembeli 111,L,Tidak,0,4,Sarjana,2,PNS,3,5jt s.d. <10jt,1,< 1jt,Rumah,1,Ya,1,Ya,189000000,64000000,18,1,ya"
"Pembeli 112,P,Ya,0,4,Sarjana,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,132000000,16000000,18,1,tidak"
"Pembeli 113,L,Ya,0,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,139000000,26000000,12,2,tidak"
"Pembeli 114,P,Tidak,1,5,PascaSarjana,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Tanah,0,Tidak,1,Ya,135000000,43000000,18,2,ya"
"Pembeli 115,L,Tidak,0,3,SMA,3,POLRI-TNI,2,1jt s.d. <5jt,1,< 1jt,Tanah,0,Tidak,1,Ya,142000000,35000000,18,2+,tidak"
"Pembeli 116,L,Ya,1,1,SD,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,133000000,11000000,12,1,tidak"
"Pembeli 117,P,Ya,0,1,SD,1,Wiraswasta,6,> 30jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,135000000,43000000,18,1,ya"
"Pembeli 118,L,Ya,1,3,SMA,3,POLRI-TNI,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Rumah,1,Ya,1,Ya,217000000,51000000,18,1,tidak"
"Pembeli 119,L,Ya,0,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,Tanah,0,Tidak,1,Ya,147000000,44000000,18,0,ya"
"Pembeli 120,P,Tidak,0,3,SMA,1,Wiraswasta,4,10jt s.d. <20jt,4,10jt s.d. <20jt,Rumah,1,Ya,1,Ya,229000000,85000000,18,2+,tidak"
"Pembeli 121,L,Ya,,5,PascaSarjana,3,POLRI-TNI,4,10jt s.d. <20jt,1,< 1jt,Tanah,0,Tidak,1,Ya,122000000,14000000,18,1,ya"
"Pembeli 122,P,Tidak,0,5,PascaSarjana,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,103000000,17000000,18,2+,tidak"
"Pembeli 123,P,Tidak,0,1,SD,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,Tanah,1,Ya,1,Ya,128000000,11000000,18,1,ya"
"Pembeli 124,L,Ya,2,5,PascaSarjana,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,112000000,49000000,18,2+,tidak"
"Pembeli 125,L,Ya,0,3,SMA,2,PNS,3,5jt s.d. <10jt,1,< 1jt,Tanah,1,Ya,1,Ya,130000000,19000000,18,2,ya"
"Pembeli 126,P,Tidak,0,5,PascaSarjana,1,Wiraswasta,4,10jt s.d. <20jt,3,5jt s.d. <10jt,Tanah,0,Tidak,1,Ya,149000000,44000000,18,2+,ya"
"Pembeli 127,,Ya,3+,5,PascaSarjana,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,Tanah,0,Tidak,1,Ya,132000000,46000000,18,0,tidak"
"Pembeli 128,L,Tidak,0,3,SMA,3,POLRI-TNI,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Tanah,1,Ya,1,Ya,148000000,23000000,18,2,ya"
"Pembeli 129,L,Ya,1,1,SD,3,POLRI-TNI,3,5jt s.d. <10jt,1,< 1jt,Rumah,0,Tidak,1,Ya,215000000,94000000,12,0,ya"
"Pembeli 130,L,Ya,0,4,Sarjana,3,POLRI-TNI,4,10jt s.d. <20jt,3,5jt s.d. <10jt,Tanah,0,Tidak,1,Ya,146000000,41000000,18,2,ya"
"Pembeli 131,L,Tidak,0,2,SMP,2,PNS,4,10jt s.d. <20jt,1,< 1jt,Rumah,1,Ya,1,Ya,217000000,64000000,24,1,ya"
"Pembeli 132,L,Tidak,0,4,Sarjana,2,PNS,4,10jt s.d. <20jt,3,5jt s.d. <10jt,Rumah,0,Tidak,1,Ya,244000000,91000000,18,2,ya"
"Pembeli 133,L,Tidak,0,5,PascaSarjana,3,POLRI-TNI,4,10jt s.d. <20jt,1,< 1jt,Tanah,0,Tidak,1,Ya,133000000,45000000,18,2,ya"
"Pembeli 134,L,Ya,0,5,PascaSarjana,3,POLRI-TNI,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,145000000,46000000,12,2+,ya"
"Pembeli 135,L,Tidak,0,4,Sarjana,1,Wiraswasta,4,10jt s.d. <20jt,3,5jt s.d. <10jt,Tanah,0,Tidak,1,Ya,149000000,42000000,18,2,ya"
"Pembeli 136,L,Ya,3+,2,SMP,5,Buruh Lepas,1,< 1jt,0,0,Tanah,1,Ya,1,Ya,104000000,14000000,18,1,tidak"
"Pembeli 137,P,Ya,0,4,Sarjana,3,POLRI-TNI,2,1jt s.d. <5jt,1,< 1jt,Tanah,1,Ya,1,Ya,109000000,46000000,18,1,ya"
"Pembeli 138,L,Ya,2,5,PascaSarjana,1,Wiraswasta,5,20jt s.d. <30jt,4,10jt s.d. <20jt,Rumah,1,Ya,1,Ya,229000000,74000000,18,0,ya"
"Pembeli 139,L,Tidak,0,1,SD,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,Tanah,0,Tidak,1,Ya,126000000,47000000,18,0,tidak"
"Pembeli 140,L,Ya,2,4,Sarjana,3,POLRI-TNI,4,10jt s.d. <20jt,1,< 1jt,Tanah,0,Tidak,1,Ya,122000000,13000000,18,1,ya"
"Pembeli 141,L,Ya,2,5,PascaSarjana,1,Wiraswasta,4,10jt s.d. <20jt,3,5jt s.d. <10jt,Tanah,1,Ya,1,Ya,119000000,48000000,18,0,ya"
"Pembeli 142,L,Tidak,0,1,SD,5,Buruh Lepas,1,< 1jt,0,0,Rumah,1,Ya,1,Ya,250000000,80000000,18,2+,tidak"
"Pembeli 143,L,Tidak,0,3,SMA,3,POLRI-TNI,4,10jt s.d. <20jt,2,1jt s.d. <5jt,Tanah,0,Tidak,1,Ya,102000000,12000000,12,2+,ya"
"Pembeli 144,L,Ya,0,2,SMP,2,PNS,3,5jt s.d. <10jt,3,5jt s.d. <10jt,Tanah,0,Tidak,1,Ya,141000000,10000000,18,0,ya"
"Pembeli 145,L,Ya,2,4,Sarjana,2,PNS,2,1jt s.d. <5jt,2,1jt s.d. <5jt,Rumah,0,Tidak,1,Ya,204000000,80000000,12,1,tidak"
"Pembeli 146,P,Ya,0,4,Sarjana,4,Pegawai Swasta,3,5jt s.d. <10jt,1,< 1jt,Tanah,0,Tidak,1,Ya,128000000,35000000,18,2+,ya"
"Pembeli 147,P,Ya,2,2,SMP,3,POLRI-TNI,2,1jt s.d. <5jt,1,< 1jt,Rumah,0,Tidak,1,Ya,184000000,97000000,18,2,ya"
"Pembeli 148,L,Ya,1,1,SD,4,Pegawai Swasta,2,1jt s.d. <5jt,1,< 1jt,Rumah,1,Ya,1,Ya,234000000,56000000,18,1,tidak"
"Pembeli 149,P,Tidak,0,4,Sarjana,2,PNS,3,5jt s.d. <10jt,3,5jt s.d. <10jt,Tanah,0,Tidak,1,Ya,133000000,46000000,18,0,ya"
